name,composer,genre,key,year,instruments,details_url,tags,catalogue_code,file_urls,raw_file_path,source_url,processed_file_path
"Songs without Words Book 1, Opus 19
(1830)
 No. 2","Mendelssohn, 
 Felix",Romanticism,a minor,,Piano,http://www.piano-midi.de/mendelssohn.htm,,,http://www.piano-midi.de/midis/mendelssohn/mendel_op19_2.mid,data/files_pianomidi/5e72685f9bb43102d6a3fe8e02f7532dfbd5157f.mid,http://www.piano-midi.de/midis/mendelssohn/mendel_op19_2.mid,data/normalized/5e72685f9bb43102d6a3fe8e02f7532dfbd5157f.xml
"Songs without Words Book 1, Opus 19
(1830)
 No. 3","Mendelssohn, 
 Felix",Romanticism,A major,,Piano,http://www.piano-midi.de/mendelssohn.htm,,,http://www.piano-midi.de/midis/mendelssohn/mendel_op19_3.mid,data/files_pianomidi/1c56bd6890a5b328d7a43dc490b48c8930255bab.mid,http://www.piano-midi.de/midis/mendelssohn/mendel_op19_3.mid,data/normalized/1c56bd6890a5b328d7a43dc490b48c8930255bab.xml
"Songs without Words Book 1, Opus 19
(1830)
 No. 4","Mendelssohn, 
 Felix",Romanticism,A major,,Piano,http://www.piano-midi.de/mendelssohn.htm,,,http://www.piano-midi.de/midis/mendelssohn/mendel_op19_4.mid,data/files_pianomidi/bdc9470d21b4cffcfcfca8905f84fe82d0478cb0.mid,http://www.piano-midi.de/midis/mendelssohn/mendel_op19_4.mid,data/normalized/bdc9470d21b4cffcfcfca8905f84fe82d0478cb0.xml
"Songs without Words Book 1, Opus 19
(1830)
 No. 5","Mendelssohn, 
 Felix",Romanticism,f# minor,,Piano,http://www.piano-midi.de/mendelssohn.htm,,,http://www.piano-midi.de/midis/mendelssohn/mendel_op19_5.mid,data/files_pianomidi/3e492a49146d4e6dbad4a60077fa9491fbbb83b3.mid,http://www.piano-midi.de/midis/mendelssohn/mendel_op19_5.mid,data/normalized/3e492a49146d4e6dbad4a60077fa9491fbbb83b3.xml
"Songs without Words Book 2, Opus 30
(1834)
 No. 1","Mendelssohn, 
 Felix",Romanticism,E- major,,Piano,http://www.piano-midi.de/mendelssohn.htm,,,http://www.piano-midi.de/midis/mendelssohn/mendel_op30_1.mid,data/files_pianomidi/22fecf16f5aae9ea13194f4bb19b9e3c5a1b82b7.mid,http://www.piano-midi.de/midis/mendelssohn/mendel_op30_1.mid,data/normalized/22fecf16f5aae9ea13194f4bb19b9e3c5a1b82b7.xml
"Songs without Words Book 1, Opus 19
(1830)
 No. 6 - Venetian Gondola Song","Mendelssohn, 
 Felix",Romanticism,g minor,,Piano,http://www.piano-midi.de/mendelssohn.htm,,,http://www.piano-midi.de/midis/mendelssohn/mendel_op19_6.mid,data/files_pianomidi/0f86fd2ad733a0bd643d1df5a3dc56de97d40e1e.mid,http://www.piano-midi.de/midis/mendelssohn/mendel_op19_6.mid,data/normalized/0f86fd2ad733a0bd643d1df5a3dc56de97d40e1e.xml
"Songs without Words Book 2, Opus 30
(1834)
 No. 3","Mendelssohn, 
 Felix",Romanticism,E major,,Piano,http://www.piano-midi.de/mendelssohn.htm,,,http://www.piano-midi.de/midis/mendelssohn/mendel_op30_3.mid,data/files_pianomidi/c5cf230da35bc3b289fc85f820cb5a3370281004.mid,http://www.piano-midi.de/midis/mendelssohn/mendel_op30_3.mid,data/normalized/c5cf230da35bc3b289fc85f820cb5a3370281004.xml
"Songs without Words Book 2, Opus 30
(1834)
 No. 2","Mendelssohn, 
 Felix",Romanticism,b- minor,,Piano,http://www.piano-midi.de/mendelssohn.htm,,,http://www.piano-midi.de/midis/mendelssohn/mendel_op30_2.mid,data/files_pianomidi/6396bae8a28ea37f744bba3688fc3253fc827700.mid,http://www.piano-midi.de/midis/mendelssohn/mendel_op30_2.mid,data/normalized/6396bae8a28ea37f744bba3688fc3253fc827700.xml
"Songs without Words Book 2, Opus 30
(1834)
 No. 5","Mendelssohn, 
 Felix",Romanticism,b minor,,Piano,http://www.piano-midi.de/mendelssohn.htm,,,http://www.piano-midi.de/midis/mendelssohn/mendel_op30_5.mid,data/files_pianomidi/4ab6f2d450a944b8d22780218a5d383b05b3f697.mid,http://www.piano-midi.de/midis/mendelssohn/mendel_op30_5.mid,data/normalized/4ab6f2d450a944b8d22780218a5d383b05b3f697.xml
"Songs without Words Book 5, Opus 62
(1844)
 No. 3 - Funeral march","Mendelssohn, 
 Felix",Romanticism,e minor,,Piano,http://www.piano-midi.de/mendelssohn.htm,,,http://www.piano-midi.de/midis/mendelssohn/mendel_op62_3.mid,data/files_pianomidi/a240374d932403494314e2b681f7737232206d2f.mid,http://www.piano-midi.de/midis/mendelssohn/mendel_op62_3.mid,data/normalized/a240374d932403494314e2b681f7737232206d2f.xml
